iter	Logloss
254	0.4784548728
255	0.478313135
256	0.4781140761
257	0.4780420379
258	0.4778959329
259	0.4778012988
260	0.4776680778
261	0.4775631214
262	0.4774770836
263	0.4773247422
264	0.4772123832
265	0.477075916
266	0.476947806
267	0.4768447903
268	0.4767469932
269	0.4766222244
270	0.4764980991
271	0.476345506
272	0.4762503568
273	0.4761601267
274	0.4760756296
275	0.4759358492
276	0.4758147571
277	0.4757013584
278	0.4756202456
279	0.4755221305
280	0.4754433254
281	0.4753353846
282	0.475242422
283	0.4751255955
284	0.4750062487
285	0.4749109406
286	0.4748176341
287	0.4746851031
288	0.4745352913
289	0.4744215293
290	0.4743625324
291	0.4742291269
292	0.474110519
293	0.4739947384
294	0.4738552067
295	0.4737787435
296	0.4736471209
297	0.4735380126
298	0.4734161807
299	0.4733176927
300	0.473210522
301	0.4730839757
302	0.4730124677
303	0.4728625752
304	0.47273949
305	0.4726617688
306	0.472548506
307	0.4724417668
308	0.47237939
309	0.472276471
310	0.4721596307
311	0.4720581809
312	0.4719174665
313	0.4718164162
314	0.4716892602
315	0.4715665546
316	0.4714764698
317	0.4714230015
318	0.4713205253
319	0.4712562091
320	0.4711498472
321	0.4710638767
322	0.4709704031
323	0.4709087617
324	0.4708161233
325	0.4706638167
326	0.4705602483
327	0.4704822982
328	0.4704285951
329	0.470355071
330	0.4702600247
331	0.4702302806
332	0.4701550578
333	0.4700388748
334	0.4699297422
335	0.4698473769
336	0.4697760201
337	0.4696846737
338	0.4695798195
339	0.4694348906
340	0.469313285
341	0.469223815
342	0.4691396232
343	0.4690957485
344	0.4690051182
345	0.4689993151
346	0.4688606805
347	0.4688001152
348	0.4687076509
349	0.4686695711
350	0.4685957953
351	0.4684747265
352	0.4684080173
353	0.4683457735
354	0.4682441797
355	0.4681607802
356	0.4680624676
357	0.4679907383
358	0.4679696527
359	0.4678818026
360	0.4677920904
361	0.4676922108
362	0.4675979136
363	0.467507473
364	0.4674394494
365	0.4673745143
366	0.4672986158
367	0.467200196
368	0.4671631781
369	0.4671153298
370	0.4670434829
371	0.4670045535
372	0.4669249904
373	0.4668631994
374	0.466840817
375	0.4667810268
376	0.4667063611
377	0.4666159169
378	0.4665584481
379	0.4664891281
380	0.4663966816
381	0.4663351955
382	0.4662588281
383	0.4661975084
384	0.4661588811
385	0.4660888136
386	0.4659835791
387	0.465913935
388	0.4658947235
389	0.4658424079
390	0.4657583222
391	0.4657169048
392	0.4656659192
393	0.4656207143
394	0.4655715896
395	0.4655362373
396	0.4654480941
397	0.4653790347
398	0.4653329308
399	0.4652359477
400	0.4651993339
401	0.4651483209
402	0.4650829832
403	0.4649784997
404	0.4649140722
405	0.4648639917
406	0.4648476054
407	0.4648121551
408	0.4647455385
409	0.4647120678
410	0.4646641588
411	0.4646592362
412	0.4645897229
413	0.4645603
414	0.4645162304
415	0.4644513347
416	0.464423265
417	0.4643886751
418	0.4643467719
419	0.4642530192
420	0.4641886434
421	0.4641816288
422	0.4641220352
423	0.4640690175
424	0.4640353717
425	0.463962553
426	0.4638657204
427	0.4638226652
428	0.4637543171
429	0.4636991682
430	0.4635837066
431	0.4635508002
432	0.4634753917
433	0.4634385567
434	0.4633657936
435	0.4632888284
436	0.4632061797
437	0.4631871621
438	0.4631407549
439	0.4631093489
440	0.4630693115
441	0.4629813013
442	0.4629208122
443	0.4628843347
444	0.4628091331
445	0.462751102
446	0.4626718686
447	0.4626186175
448	0.4625618164
449	0.4625469315
450	0.4625146196
451	0.4624986608
452	0.4624132421
453	0.4623428647
454	0.4622880487
455	0.4622280775
456	0.4621401521
457	0.4620559123
458	0.4620127552
459	0.4619773291
460	0.461898583
461	0.4618438501
462	0.4618230269
463	0.4617907109
464	0.4617334004
465	0.461713249
466	0.4616452559
467	0.4615815644
468	0.4615643126
469	0.4615209038
470	0.4614686396
471	0.4614104152
472	0.4613720957
473	0.4612959538
474	0.4612453472
475	0.4612359294
476	0.4611537997
477	0.4610881787
478	0.4610139808
479	0.4609551822
480	0.4609039809
481	0.4608753853
482	0.4608341149
483	0.4607517547
484	0.4606781694
485	0.4606225572
486	0.4605633644
487	0.4605095246
488	0.4604260148
489	0.4603718289
490	0.4603504439
491	0.4602835125
492	0.4602378494
493	0.460173521
494	0.4600956197
495	0.4599618264
496	0.459921589
497	0.4598531154
498	0.4597905688
499	0.4597293093
500	0.459645524
501	0.4595699805
502	0.4595501698
503	0.4595441836
504	0.4595093662
505	0.4594929493
506	0.4594245843
507	0.4593480117
508	0.4592919509
509	0.4592392802
510	0.4591298673
511	0.4590846243
512	0.4589866565
513	0.4589363238
514	0.458909885
515	0.4588657587
516	0.4588082181
517	0.4587603147
518	0.4587208856
519	0.4586949398
520	0.4586410855
521	0.4585795106
522	0.4584892266
523	0.4584665689
524	0.4583998871
525	0.4583716713
526	0.4583171084
527	0.4582767356
528	0.4581830054
529	0.4581317678
530	0.4580809903
531	0.4580257437
532	0.457928035
533	0.4578881241
534	0.4578501012
535	0.457826502
536	0.4577964067
537	0.4577412872
538	0.4576906375
539	0.4576580383
540	0.4575882071
541	0.4575510002
542	0.4575207568
543	0.4574770919
544	0.4574286765
545	0.4574250802
546	0.4573692187
547	0.4572960383
548	0.4572522567
549	0.4571961144
550	0.4571301151
551	0.4570962599
552	0.4570915706
553	0.4570383128
554	0.4569973071
555	0.4569681757
556	0.4569165636
557	0.4568785508
558	0.4568436168
559	0.4567928209
560	0.4567687589
561	0.4567357076
562	0.4567079538
563	0.4566608747
564	0.4566147561
565	0.4565874484
566	0.4565202753
567	0.4564644082
568	0.4564274139
569	0.4564008842
570	0.4563665145
571	0.4563458202
572	0.4562936454
573	0.4562302702
574	0.4561717016
575	0.4561584985
576	0.4561266198
577	0.456059699
578	0.456005357
579	0.4559792963
580	0.4559494361
581	0.4559057932
582	0.4558619522
583	0.4557983964
584	0.4557131416
585	0.4556939404
586	0.455630073
587	0.4555950392
588	0.4555436453
589	0.4554718564
590	0.4553947348
591	0.4553422629
592	0.4553147014
593	0.4552851246
594	0.4552482706
595	0.4551885669
596	0.4551462321
597	0.4551150594
598	0.4550923887
599	0.4550528683
600	0.4549908226
601	0.4549438953
602	0.4548779434
603	0.454853681
604	0.4548318832
605	0.4547588567
606	0.4547275849
607	0.4547078403
608	0.4546592421
609	0.4545952912
610	0.4545427962
611	0.454474794
612	0.4544497515
613	0.4544171872
614	0.4543932639
615	0.4543400698
616	0.4542991183
617	0.4542166037
618	0.4541274864
619	0.4540902857
620	0.454060843
621	0.4540019206
622	0.4539733869
623	0.4539071206
